url,action_obligation,base_and_exercised_options_value,base_and_all_options_value
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=0559&PIID=05GA0A20F0028&modNumber=P00004&idvAgencyID=&idvPIID=03310319D0071&contractType=AWARD,"$187,425.00","$187,425.00",$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=0559&PIID=05GA0A22P0013&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$89,244.96","$89,244.96",$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=0559&PIID=05GA0A25F0003&modNumber=P00002&idvAgencyID=&idvPIID=HHSN316201200012W&contractType=AWARD,"-$14,490,792.54","-$14,490,792.54","-$14,551,663.37"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316022P0006OAS&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316023A0011EOP&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV,$0.00,,
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024F0003CEQ&modNumber=P00002&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,"-$17,836.03","-$17,836.03","-$17,836.03"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024F0004OND&modNumber=P00001&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024F0007OMB&modNumber=P00001&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024F0008OVP&modNumber=P00001&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024F0012WHO&modNumber=P00001&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024F0019OAS&modNumber=P00001&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024P0206OAS&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$12,900.00","$12,900.00","$12,900.00"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316024P0207OAS&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$12,900.00","$12,900.00","$12,900.00"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1100&PIID=11316025F0002UST&modNumber=P00001&idvAgencyID=&idvPIID=11316023A0011EOP&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1145&PIID=1145PC24F0745&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA22D0030&contractType=AWARD,$0.00,$0.00,"-$19,864.09"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1153&PIID=1131PL21CCP91190&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1921F0038&modNumber=P00006&idvAgencyID=&idvPIID=123J1921A0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1922F0012&modNumber=P00004&idvAgencyID=&idvPIID=GS00F029DA&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1922F0072&modNumber=P00005&idvAgencyID=&idvPIID=1232SB18A0005&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1923P0009&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0017&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0048&modNumber=P00001&idvAgencyID=&idvPIID=GS10F0324X&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0051&modNumber=P00001&idvAgencyID=&idvPIID=12805B23A0005&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0055&modNumber=P00002&idvAgencyID=&idvPIID=47QTCA20D007S&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0057&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D009T&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0062&modNumber=P00001&idvAgencyID=&idvPIID=GS35F212DA&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924F0069&modNumber=P00001&idvAgencyID=&idvPIID=GS02F0027Y&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1924P0023&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1204&PIID=123J1925F0010&modNumber=P00001&idvAgencyID=&idvPIID=123J1923A0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314421F0212&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SC73B&contractType=AWARD,$0.00,$0.00,"-$44,349.90"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314421F0446&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD00B&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314421F0495&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD33B&contractType=AWARD,"-$148,005.41","-$148,005.41","-$148,005.41"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422C0047&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,"$2,274,142.01",$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422C0078&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"-$790,625.11","-$790,625.11","-$790,625.11"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422C0085&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,"-$1,108,987.44"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422F0536&modNumber=P00008&idvAgencyID=&idvPIID=HHSN316201200061W&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422F0623&modNumber=P00007&idvAgencyID=&idvPIID=GS00F0007X&contractType=AWARD,"-$195,342.86","-$195,342.86","-$958,542.86"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422F0637&modNumber=P00004&idvAgencyID=&idvPIID=47QRAA22D00AS&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422F0675&modNumber=P00004&idvAgencyID=&idvPIID=47QTCB22D0599&contractType=AWARD,$0.00,$0.00,"-$466,658.13"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422F0787&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00D0&contractType=AWARD,"-$12,038.82","-$12,038.82","-$51,008.30"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314422P0139&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"-$33,460.02","-$33,460.02","-$33,460.02"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0016&modNumber=P00011&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0050&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0062&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"-$66,880.30","-$66,880.30","-$66,880.30"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0077&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423C0108&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0197&modNumber=P00005&idvAgencyID=&idvPIID=12318721A0009&contractType=AWARD,"-$4,487.10","-$4,487.10","-$4,487.10"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0207&modNumber=P00007&idvAgencyID=&idvPIID=47QTCA18D001C&contractType=AWARD,-$0.02,-$0.02,-$0.02
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0388&modNumber=P00003&idvAgencyID=&idvPIID=47QTCA20D00DL&contractType=AWARD,,,
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0597&modNumber=P00004&idvAgencyID=&idvPIID=GS07F0274U&contractType=AWARD,,,
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0625&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0648&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA19D006C&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314423F0672&modNumber=P00010&idvAgencyID=&idvPIID=GS35F360GA&contractType=AWARD,,,
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0035&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0043&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,,,
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0051&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"-$202,382.85","-$202,382.85","-$202,382.85"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0054&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0058&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0060&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424C0062&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0057&modNumber=P00005&idvAgencyID=&idvPIID=03310324D0001&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0066&modNumber=P00005&idvAgencyID=&idvPIID=47QRAA22D00CC&contractType=AWARD,"-$34,224.28","-$34,224.28","-$34,224.28"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0217&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SC73B&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0254&modNumber=P00002&idvAgencyID=&idvPIID=03310324D0001&contractType=AWARD,$0.00,$0.00,"-$1,830,970.00"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0426&modNumber=P00001&idvAgencyID=&idvPIID=12314420A0016&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0435&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0567&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D00C6&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0585&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00GN&contractType=AWARD,"-$3,771.65","-$3,771.65","-$3,771.65"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0591&modNumber=P00001&idvAgencyID=&idvPIID=GS35F253CA&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0593&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D00GN&contractType=AWARD,"-$308,753.96","-$308,753.96","-$308,753.96"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0617&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA18D0063&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424F0641&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D0047&contractType=AWARD,"-$22,306.00","-$22,306.00","-$22,306.00"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424P0124&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314424P0131&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314425C0019&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314425C0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314425F0059&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA21D002P&contractType=AWARD,"-$358,965.00","-$358,965.00","-$358,965.00"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12314425F0061&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA19D00DK&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12724524C0003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=12724524F0009&modNumber=P00003&idvAgencyID=&idvPIID=12318720A0016&contractType=AWARD,"-$170,635.16","-$170,635.16","-$170,635.16"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=1205&PIID=AG3142D160139&modNumber=11&idvAgencyID=&idvPIID=AG3142C160008&contractType=AWARD,"-$136,808.97","-$136,808.97","-$136,808.97"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12048924F0108&modNumber=P00002&idvAgencyID=&idvPIID=1240BE21A0013&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12048924P0035&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318720C0006&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318720F0542&modNumber=P00012&idvAgencyID=&idvPIID=47QRAA18D001P&contractType=AWARD,"-$1,684.98",-$521.06,-$521.06
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318721F0131&modNumber=P00009&idvAgencyID=&idvPIID=12318721A0008&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318721F0312&modNumber=P00007&idvAgencyID=&idvPIID=AG3187C170012&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722C0014&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"-$179,622.40","-$3,021,517.71","-$3,021,517.71"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0191&modNumber=P00004&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,-$11.38,-$11.38,-$11.38
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0339&modNumber=P00007&idvAgencyID=&idvPIID=AG3187C170012&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0406&modNumber=P00006&idvAgencyID=&idvPIID=AG3187C170012&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0457&modNumber=P00007&idvAgencyID=&idvPIID=12318721A0008&contractType=AWARD,"-$830,464.20","-$830,464.20","-$830,464.20"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0516&modNumber=P00003&idvAgencyID=&idvPIID=12318722D0003&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0572&modNumber=P00004&idvAgencyID=&idvPIID=AG3187C170012&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0611&modNumber=P00003&idvAgencyID=&idvPIID=AG3187C170012&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318722F0625&modNumber=P00009&idvAgencyID=&idvPIID=47QREB21D0028&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723C0016&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0055&modNumber=P00003&idvAgencyID=&idvPIID=AG3187C170012&contractType=AWARD,-$674.02,-$674.02,-$674.02
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0065&modNumber=P00002&idvAgencyID=&idvPIID=12318721A0012&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0205&modNumber=P00003&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0207&modNumber=P00005&idvAgencyID=&idvPIID=12318722A0016&contractType=AWARD,"-$88,907.02","-$88,907.02","-$88,907.02"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0277&modNumber=P00004&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0278&modNumber=P00003&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0402&modNumber=P00004&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0416&modNumber=P00005&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,"-$14,050.75","-$14,050.75","-$14,050.75"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0432&modNumber=P00001&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0452&modNumber=P00002&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0533&modNumber=P00002&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0544&modNumber=P00003&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0581&modNumber=P00003&idvAgencyID=&idvPIID=03310321D0001&contractType=AWARD,$0.00,$0.00,"-$155,555.00"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0593&modNumber=P00002&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0597&modNumber=P00003&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0611&modNumber=P00001&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0625&modNumber=P00002&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0647&modNumber=P00002&idvAgencyID=&idvPIID=12318719A0002&contractType=AWARD,"-$78,838.01","-$428,838.01","-$428,838.01"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0650&modNumber=P00007&idvAgencyID=&idvPIID=12318721A0008&contractType=AWARD,"-$269,949.31","-$301,899.31","-$1,261,899.31"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318723F0651&modNumber=P00005&idvAgencyID=&idvPIID=12318721A0014&contractType=AWARD,"-$35,853.44","-$35,853.44","-$35,853.44"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0056&modNumber=P00004&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0071&modNumber=P00005&idvAgencyID=&idvPIID=12318721A0004&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0092&modNumber=P00004&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,"-$64,459.13","-$64,459.13","-$64,459.13"
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0106&modNumber=P00003&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0114&modNumber=P00003&idvAgencyID=&idvPIID=12318723D0002&contractType=AWARD,-$609.49,-$609.49,-$609.49
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0121&modNumber=P00003&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0165&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D009T&contractType=AWARD,$0.00,$0.00,$0.00
https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=12C2&PIID=12318724F0185&modNumber=P00002&idvAgencyID=&idvPIID=12318720A0001&contractType=AWARD,$0.00,$0.00,$0.00
